mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,length,width,height,wheelbase,engine_type,fuel_system,transmission_type,num_gears,drive_type,drag_coefficient,frontal_area,compression_ratio,top_speed
20.8,8,371.2,210.0,4676,18.2,1972,2,Mazda Luxury GT,230.0,82.0,69.4,124.9,V8,MPFI,Automatic,,AWD,,34.5,12.2,162.0
41.0,6,183.3,167.0,2398,13.0,2025,1,Chrysler Coupe Limited,230.0,82.0,55.2,135.0,V6,TBI,Automatic,5.0,RWD,0.325,,13.5,126.0
36.5,8,309.9,266.0,3877,13.3,2021,3,Tesla Sedan Premium,,82.0,58.2,126.3,V8,nan,Manual,5.0,FWD,0.376,29.2,12.2,184.0
45.6,4,118.8,69.0,1924,18.6,1994,3,Jeep Sport LX,228.3,82.0,56.3,128.3,Inline-4,GDI,Automatic,6.0,FWD,0.418,27.7,9.7,112.0
47.0,5,160.5,55.0,1800,18.6,1992,1,Hyundai Crossover Limited,230.0,82.0,59.9,126.0,V12,Direct Injection,CVT,,AWD,0.481,27.9,9.1,130.0
49.5,3,87.0,56.0,1800,19.9,1992,2,Audi Sport Sport,193.4,82.0,65.3,103.1,Inline-3,GDI,Automatic,8.0,RWD,0.482,30.8,8.8,116.0
42.0,3,82.3,50.0,1800,22.0,2000,1,Jeep Hybrid EX,220.3,82.0,58.1,122.0,Inline-3,GDI,Manual,5.0,nan,0.38,28.5,10.0,108.0
37.9,4,177.5,86.0,1992,17.9,2010,1,Chrysler Sport DX,230.0,82.0,53.2,,Inline-4,MPFI,Manual,6.0,RWD,0.413,25.4,13.0,115.0
46.8,4,143.9,101.0,1814,17.7,2006,1,Subaru Coupe GT,226.5,82.0,58.9,125.4,Inline-4,MPFI,DCT,7.0,AWD,0.441,28.7,12.7,111.0
47.1,4,111.8,50.0,1800,20.9,2000,2,Acura Coupe Premium,207.2,82.0,67.7,109.1,Inline-4,TBI,Automatic,4.0,RWD,,31.7,11.4,103.0
50.9,4,119.5,91.0,2071,18.2,2013,2,Chrysler Luxury Limited,230.0,,71.9,122.1,Inline-4,MPFI,DCT,6.0,FWD,0.411,33.4,,
44.8,4,118.8,54.0,1800,18.8,1989,3,Ford Luxury ,207.0,82.0,70.2,114.5,Inline-4,GDI,Automatic,7.0,FWD,0.431,34.3,9.2,97.0
27.6,8,351.8,190.0,4465,19.8,2000,1,Hyundai Crossover DX,230.0,82.0,55.6,126.3,V8,MPFI,Automatic,7.0,RWD,,26.1,11.5,172.0
50.4,3,80.2,73.0,1800,19.0,2003,1,Tesla Van EX,230.0,82.0,72.5,127.8,Inline-3,nan,Manual,6.0,RWD,0.365,32.9,11.9,132.0
33.9,6,233.1,195.0,3659,15.4,2007,3,Tesla SUV LX,230.0,,68.2,124.4,Inline-6,TBI,Automatic,,FWD,0.354,32.9,10.0,150.0
53.9,4,124.7,70.0,1804,19.5,2019,1,Mazda Convertible Premium,225.1,,54.2,121.8,Inline-4,GDI,DCT,6.0,FWD,0.315,27.6,10.2,131.0
33.1,8,312.8,137.0,3465,18.5,1993,2,Nissan Luxury LX,230.0,82.0,69.1,123.8,V8,Carburetor,DCT,7.0,AWD,0.47,32.9,11.6,114.0
32.3,8,284.9,206.0,4043,17.4,2010,3,Subaru Van EX,230.0,82.0,57.2,126.8,V8,GDI,Automatic,7.0,nan,,29.5,11.7,136.0
39.5,6,201.9,74.0,2487,20.8,2013,1,BMW Luxury ,230.0,82.0,55.6,125.3,V6,MPFI,CVT,,FWD,0.34,28.2,13.3,123.0
36.3,6,190.7,104.0,3021,21.0,1976,3,Nissan Sedan LX,230.0,,,127.8,Inline-6,TBI,Automatic,6.0,FWD,0.474,26.0,,125.0
48.4,3,83.6,50.0,1800,19.7,2013,2,Tesla Coupe Base,230.0,82.0,59.4,126.6,Inline-3,GDI,Automatic,,RWD,0.33,29.4,9.9,111.0
21.6,10,416.9,120.0,5776,22.5,1991,2,Mercedes Sport GT,230.0,82.0,,126.9,V10,MPFI,CVT,,RWD,,36.4,10.3,131.0
16.9,8,439.3,415.0,5170,14.3,1979,1,Toyota Hatchback GT,230.0,82.0,55.7,132.9,V8,MPFI,Automatic,,FWD,0.49,27.9,11.0,206.0
31.1,8,364.8,248.0,4764,19.7,2024,2,Mercedes Hatchback Base,230.0,82.0,67.3,128.4,V8,TBI,Automatic,8.0,nan,0.297,33.4,,160.0
46.5,6,187.3,150.0,2711,17.7,2025,3,Hyundai Sedan GT,230.0,82.0,53.3,123.5,V6,TBI,Automatic,6.0,FWD,0.348,,13.0,143.0
43.9,4,163.1,92.0,1928,18.2,2020,2,Audi Luxury GT,218.4,82.0,74.0,117.4,Inline-4,GDI,Automatic,6.0,FWD,0.323,35.6,10.1,141.0
26.0,8,407.5,371.0,5179,14.5,2000,2,Dodge Hatchback LX,230.0,82.0,73.8,128.6,V8,nan,Manual,,RWD,0.405,35.6,12.5,196.0
46.4,4,111.2,50.0,1800,22.4,1983,2,Hyundai Hatchback Premium,230.0,82.0,72.6,122.0,Inline-4,GDI,Automatic,4.0,FWD,0.5,33.8,9.0,108.0
39.7,6,269.5,79.0,3344,21.2,2016,3,Volvo Hatchback Sport,230.0,82.0,56.7,130.3,Flat-6,TBI,Manual,5.0,nan,0.318,28.3,12.7,132.0
43.7,4,94.1,50.0,1800,21.6,2007,1,Dodge Convertible ,208.5,82.0,53.8,116.5,Inline-4,Carburetor,Manual,5.0,4WD,0.42,25.6,11.8,139.0
29.4,8,324.4,,4447,21.3,1987,2,Nissan Hybrid Base,230.0,82.0,67.8,126.4,V8,Carburetor,Automatic,,FWD,0.434,32.4,11.3,134.0
49.4,4,157.7,59.0,1800,19.9,2009,3,Lexus Hybrid Sport,223.0,82.0,74.1,125.0,Inline-4,MPFI,Automatic,4.0,RWD,,,11.0,100.0
41.2,4,153.8,115.0,1908,14.0,1974,2,Dodge SUV Limited,224.2,,55.6,125.4,Inline-4,MPFI,Automatic,6.0,FWD,0.5,26.3,8.9,131.0
45.9,6,208.9,68.0,2884,20.6,2023,1,Ford Sedan Sport,230.0,82.0,70.4,123.5,,Carburetor,CVT,,FWD,0.324,34.8,13.2,112.0
41.9,6,186.2,88.0,3135,21.1,1998,3,Chrysler Crossover Limited,230.0,82.0,54.4,128.9,,TBI,Automatic,6.0,FWD,0.366,,10.8,137.0
34.8,6,265.8,,3166,15.4,2015,3,Audi Luxury ,230.0,82.0,55.8,126.6,V6,MPFI,Automatic,8.0,4WD,,25.3,10.0,134.0
50.8,4,118.2,50.0,1800,20.5,2001,2,Ford Compact Sport,226.8,,76.5,124.6,Inline-4,MPFI,DCT,6.0,FWD,0.378,37.2,12.6,86.0
52.6,3,65.9,50.0,1800,20.5,2010,2,Volvo Sport EX,228.5,82.0,73.3,124.0,Inline-3,TBI,Automatic,6.0,AWD,0.339,35.7,11.4,117.0
39.1,6,231.6,166.0,2757,16.5,2011,1,Subaru Coupe DX,230.0,82.0,56.8,124.6,Inline-6,MPFI,Automatic,4.0,FWD,0.418,27.9,9.2,161.0
19.7,10,536.5,445.0,6416,13.7,1992,1,Ford Hatchback Base,230.0,82.0,68.7,129.2,V10,MPFI,Automatic,4.0,4WD,,35.4,11.0,201.0
43.8,6,184.4,73.0,2684,20.3,2025,2,Audi Sedan Sport,,82.0,52.2,128.7,V6,Carburetor,CVT,,FWD,0.345,25.8,11.0,132.0
45.5,4,158.9,158.0,2085,15.0,2019,2,Dodge Sedan ,230.0,82.0,55.3,122.5,,Carburetor,CVT,,FWD,0.32,26.4,12.2,135.0
25.8,8,405.9,269.0,5369,,2024,1,Chrysler Sport Base,230.0,82.0,65.5,126.0,V8,MPFI,CVT,,4WD,0.359,31.5,11.7,161.0
45.2,4,128.3,112.0,1800,16.4,2023,1,Mazda Sport DX,209.9,82.0,54.2,120.6,Inline-4,MPFI,Automatic,6.0,FWD,0.315,,9.7,144.0
36.9,6,254.4,79.0,3930,22.0,2013,1,Honda Luxury ,230.0,82.0,55.0,121.9,Flat-6,TBI,Automatic,8.0,RWD,0.41,27.0,8.9,117.0
41.9,5,197.9,161.0,2937,16.7,2023,2,Hyundai Sedan EX,230.0,82.0,69.8,125.4,V12,TBI,CVT,,RWD,0.37,32.4,,107.0
38.4,4,110.6,92.0,1800,18.1,1982,1,Mazda Wagon DX,230.0,82.0,73.5,123.4,Inline-4,MPFI,DCT,6.0,RWD,0.5,36.1,12.1,129.0
39.5,6,194.4,74.0,2872,,1993,1,Tesla Luxury Limited,230.0,82.0,52.5,128.7,V6,TBI,Automatic,6.0,RWD,,,8.6,108.0
33.7,6,271.3,165.0,3165,17.6,1976,1,Jeep SUV Limited,230.0,82.0,52.4,126.0,Inline-6,Carburetor,Automatic,6.0,RWD,0.5,26.7,10.4,139.0
44.3,4,150.2,89.0,2097,19.2,2001,3,Jeep SUV LX,230.0,82.0,76.9,118.6,Inline-4,TBI,Automatic,5.0,RWD,0.408,37.6,11.3,133.0
44.6,4,129.4,92.0,2480,20.3,2004,1,Hyundai Hatchback Premium,230.0,82.0,76.0,127.9,Inline-4,TBI,Manual,5.0,FWD,0.352,37.7,13.1,125.0
45.3,4,141.6,64.0,1800,19.3,1998,2,Audi Crossover Sport,214.1,82.0,52.2,115.0,Inline-4,MPFI,DCT,8.0,nan,0.372,,,111.0
40.1,6,254.6,179.0,3166,16.5,2021,1,Volvo Hatchback EX,230.0,82.0,58.7,121.8,Inline-6,nan,Manual,6.0,FWD,0.298,,9.3,127.0
45.0,4,159.6,67.0,1849,17.1,2003,2,Audi Wagon DX,223.2,82.0,70.6,128.6,Inline-4,MPFI,Manual,5.0,FWD,0.422,34.3,12.1,108.0
43.9,4,172.8,132.0,2003,14.5,1999,2,Acura Sport Sport,230.0,82.0,66.7,124.5,Inline-4,MPFI,Automatic,10.0,FWD,,32.6,11.8,121.0
38.3,6,222.7,71.0,2860,21.4,2011,1,Mercedes Convertible ,215.4,82.0,72.0,121.0,V6,Direct Injection,Semi-Automatic,7.0,RWD,,33.9,10.5,133.0
34.3,6,209.3,106.0,2546,20.2,1989,1,Honda Hatchback Limited,230.0,82.0,57.6,127.3,,MPFI,Automatic,,RWD,0.458,28.1,9.9,135.0
41.0,6,244.0,109.0,3072,21.5,2020,2,Subaru Crossover GT,230.0,82.0,58.2,123.5,Inline-6,MPFI,Automatic,6.0,RWD,0.337,28.7,12.7,135.0
39.5,5,164.9,107.0,2335,17.8,1980,1,Volkswagen Luxury Premium,,82.0,55.6,126.2,V12,GDI,Manual,5.0,FWD,0.449,26.1,12.3,136.0
31.3,8,410.8,336.0,4765,15.3,2025,1,Toyota SUV EX,230.0,82.0,54.5,135.0,V8,MPFI,Automatic,6.0,AWD,,27.8,9.4,220.0
36.1,8,372.4,148.0,3889,19.1,2019,3,Lexus Hatchback Premium,230.0,82.0,72.6,121.3,V8,Direct Injection,Automatic,5.0,4WD,0.348,36.9,12.2,108.0
38.7,6,195.3,65.0,2716,19.8,1993,2,Acura Compact ,230.0,82.0,55.7,132.6,V6,MPFI,CVT,,RWD,0.463,27.2,11.6,130.0
33.0,6,226.9,121.0,3001,19.6,1970,1,Kia Luxury Sport,230.0,82.0,56.7,127.0,,Direct Injection,Manual,5.0,AWD,0.5,25.9,9.6,145.0
46.4,4,152.2,117.0,2586,20.0,2020,2,Audi Wagon DX,230.0,82.0,72.1,123.5,Inline-4,Carburetor,Manual,5.0,RWD,0.364,35.6,10.9,124.0
17.8,10,519.9,295.0,6167,17.4,2017,3,Lexus Crossover LX,230.0,82.0,54.8,125.2,V10,MPFI,Semi-Automatic,7.0,FWD,0.367,26.3,11.5,191.0
46.6,4,134.4,64.0,2155,19.6,2018,1,Volkswagen Truck Base,230.0,82.0,70.9,128.4,Inline-4,MPFI,Automatic,7.0,FWD,0.307,35.8,12.2,126.0
48.3,4,104.9,66.0,1800,19.6,2019,3,Volvo Convertible EX,196.4,82.0,69.3,112.0,Inline-4,GDI,DCT,6.0,RWD,0.396,34.3,12.8,130.0
43.5,4,127.3,76.0,2208,19.7,1980,2,Subaru Wagon DX,230.0,82.0,57.6,122.9,Inline-4,GDI,Automatic,6.0,FWD,0.448,27.8,11.8,115.0
42.6,4,160.8,110.0,1802,18.5,2003,2,Chevrolet Hybrid Base,211.1,82.0,55.5,118.9,Inline-4,TBI,Automatic,6.0,FWD,0.444,27.1,,140.0
19.6,10,461.9,241.0,5846,19.8,1986,3,Dodge Sport Limited,230.0,82.0,73.3,129.4,V10,GDI,Manual,6.0,4WD,0.445,35.2,9.5,145.0
38.7,6,249.7,214.0,3449,15.8,2022,1,Mercedes Van Limited,230.0,82.0,71.4,126.7,V6,MPFI,CVT,,RWD,0.349,33.0,,153.0
31.8,6,230.7,210.0,3253,12.4,2014,1,Dodge Crossover Base,230.0,82.0,,,V6,Carburetor,Semi-Automatic,6.0,RWD,0.4,31.8,9.3,164.0
36.3,6,204.1,162.0,3482,17.9,2002,1,Subaru Coupe Base,230.0,82.0,57.4,126.1,V6,Carburetor,Automatic,9.0,AWD,0.398,27.0,13.0,137.0
37.8,5,187.8,128.0,2326,18.6,1978,3,Volvo Luxury LX,209.0,82.0,70.4,112.8,V12,MPFI,Automatic,10.0,RWD,0.452,34.7,11.6,152.0
43.1,4,97.6,50.0,2004,21.3,2001,1,Chevrolet Coupe EX,230.0,82.0,,127.6,,nan,Automatic,6.0,RWD,,30.3,11.5,113.0
36.5,6,232.5,77.0,3406,22.4,2001,1,Lexus Convertible DX,230.0,82.0,65.1,128.1,V6,TBI,Automatic,8.0,RWD,0.372,32.2,10.0,132.0
46.1,6,200.9,138.0,2821,18.1,2018,2,Chevrolet Sport GT,230.0,82.0,70.6,126.7,V6,GDI,DCT,7.0,4WD,0.364,,10.2,129.0
50.3,4,96.0,59.0,2120,20.4,2014,1,Acura Van LX,221.7,82.0,73.8,125.2,Inline-4,TBI,Automatic,7.0,FWD,0.361,35.2,13.1,122.0
35.5,6,230.3,204.0,2998,16.5,2022,1,Lexus Hatchback EX,230.0,82.0,72.9,125.5,Flat-6,Direct Injection,Manual,6.0,FWD,0.375,36.1,9.3,126.0
47.9,4,135.0,50.0,1886,21.2,2008,1,Kia Hybrid EX,230.0,82.0,57.3,130.8,Inline-4,Carburetor,CVT,,RWD,0.405,28.5,12.7,94.0
42.9,4,153.6,124.0,2027,15.1,1986,3,Lexus Luxury Limited,216.4,82.0,65.7,113.4,Inline-4,MPFI,Automatic,7.0,FWD,0.434,33.0,12.3,120.0
46.0,4,157.0,103.0,1800,16.5,2017,3,Dodge SUV DX,230.0,82.0,73.8,129.0,Inline-4,MPFI,Automatic,6.0,RWD,0.36,35.6,10.6,138.0
38.4,4,155.5,66.0,2272,22.1,2019,2,Mazda Truck Limited,230.0,82.0,75.9,127.3,Inline-4,MPFI,Manual,6.0,RWD,0.347,37.1,9.6,102.0
32.0,8,370.1,262.0,4742,15.2,2012,1,Nissan Hatchback Base,230.0,82.0,,,V8,GDI,Automatic,8.0,RWD,0.365,29.3,8.9,158.0
27.0,8,419.0,383.0,4920,,2019,1,Jeep Luxury DX,230.0,,71.6,125.0,V8,Direct Injection,Automatic,4.0,RWD,0.319,33.2,9.3,207.0
44.6,4,141.9,110.0,2464,18.4,2009,1,Hyundai Wagon LX,230.0,82.0,75.3,123.8,Inline-4,Carburetor,Automatic,6.0,FWD,,37.6,9.2,133.0
37.1,6,222.2,161.0,2846,15.0,2010,3,Jeep Van GT,230.0,82.0,73.2,129.3,V6,TBI,Automatic,5.0,FWD,0.368,35.7,11.6,152.0
37.1,6,239.7,63.0,2598,22.1,2006,2,Mercedes Coupe Premium,230.0,82.0,57.7,130.5,V6,TBI,CVT,,AWD,0.422,28.3,10.1,112.0
39.3,4,175.3,133.0,2772,18.0,1973,1,Honda Hybrid Base,230.0,82.0,53.6,129.4,Flat-4,GDI,Automatic,6.0,AWD,0.5,26.5,11.4,109.0
47.9,4,107.4,58.0,1962,21.4,1985,1,Jeep Sport Base,230.0,82.0,53.9,128.9,Inline-4,Carburetor,nan,5.0,FWD,0.41,25.8,12.2,139.0
11.7,10,535.9,,6474,20.0,1974,2,Mercedes Hybrid EX,230.0,82.0,66.7,,V10,GDI,CVT,,RWD,0.459,31.7,,162.0
47.3,6,185.3,,2580,20.1,2014,3,Volvo Convertible Premium,230.0,82.0,54.6,127.0,V6,MPFI,Automatic,6.0,AWD,0.333,26.0,12.6,118.0
21.3,10,446.3,175.0,5672,19.8,2001,3,Jeep Crossover GT,230.0,82.0,56.9,127.2,V10,MPFI,Automatic,6.0,RWD,,,10.7,144.0
45.5,4,115.9,50.0,1800,19.4,2010,1,Lexus Hatchback Sport,197.1,82.0,72.0,103.1,Inline-4,TBI,nan,6.0,FWD,0.425,33.6,11.3,116.0
36.3,6,242.6,190.0,3073,15.1,2023,3,Kia Coupe Sport,230.0,,53.9,124.5,Flat-6,Carburetor,Manual,6.0,FWD,,,13.4,126.0
47.0,4,101.8,50.0,1800,20.8,1997,1,Chrysler Crossover ,230.0,82.0,55.6,125.6,Inline-4,MPFI,Automatic,4.0,FWD,0.402,27.7,9.4,116.0
42.3,4,169.4,52.0,2233,20.5,2005,1,Mercedes Crossover Sport,218.3,82.0,54.4,121.0,Flat-4,Carburetor,CVT,,FWD,0.398,26.8,12.5,113.0
42.2,5,189.7,84.0,2794,21.1,2018,1,Chevrolet Hatchback ,230.0,82.0,54.8,130.5,V12,Carburetor,Automatic,5.0,FWD,0.403,26.9,,136.0
42.3,4,148.7,90.0,1800,16.6,1996,1,Hyundai Crossover GT,181.7,82.0,55.6,94.2,Inline-4,TBI,DCT,7.0,AWD,0.464,25.0,,120.0
38.1,4,131.3,55.0,2067,19.2,1980,1,Toyota Convertible EX,230.0,82.0,59.2,123.0,Inline-4,Direct Injection,Automatic,7.0,FWD,0.496,28.2,9.9,102.0
43.8,4,174.0,58.0,2251,20.5,2000,1,Mercedes Coupe Limited,230.0,82.0,67.7,130.4,Inline-4,MPFI,Automatic,4.0,4WD,0.366,,12.6,97.0
40.6,4,164.8,74.0,2323,20.4,1991,3,Kia Coupe Premium,215.8,82.0,74.8,124.5,Inline-4,GDI,Automatic,10.0,4WD,0.456,36.3,12.0,94.0
43.9,6,229.9,173.0,2966,15.0,2024,1,Honda Coupe GT,230.0,82.0,54.8,125.5,V6,nan,Automatic,5.0,FWD,0.317,24.3,12.3,122.0
40.7,5,182.1,50.0,2668,21.3,2020,1,Toyota Luxury Premium,230.0,82.0,52.9,129.4,V12,GDI,Automatic,5.0,RWD,0.334,,10.7,103.0
47.2,4,141.0,86.0,1800,17.2,2014,1,Nissan Wagon LX,211.4,82.0,55.7,116.9,,TBI,Automatic,,FWD,0.371,,9.4,111.0
54.0,4,142.9,63.0,1800,19.2,2022,3,Mercedes Wagon Sport,228.4,82.0,57.0,127.8,Inline-4,GDI,DCT,8.0,RWD,0.39,27.6,12.9,120.0
46.1,4,119.8,50.0,1800,21.1,2020,1,BMW Wagon ,230.0,82.0,52.8,127.1,Inline-4,GDI,CVT,,FWD,0.345,25.6,,104.0
35.8,6,226.2,136.0,2858,18.5,1993,1,Mercedes Crossover EX,230.0,82.0,72.0,134.9,V6,GDI,CVT,,AWD,0.458,33.9,8.5,150.0
47.9,4,97.0,50.0,1800,20.4,2022,3,Tesla SUV Limited,220.5,82.0,53.9,124.3,Inline-4,Direct Injection,CVT,,RWD,0.372,27.4,9.7,110.0
35.9,6,215.7,58.0,3390,21.4,2011,2,Lexus Van Sport,230.0,82.0,67.8,130.5,V6,TBI,Manual,5.0,AWD,0.42,,12.1,89.0
51.4,4,152.6,90.0,1996,18.3,2020,1,Mercedes Sedan ,228.2,82.0,52.6,123.8,Flat-4,TBI,Automatic,5.0,4WD,0.387,25.9,10.5,122.0
37.8,4,175.8,86.0,2482,20.3,2023,1,Kia Sport Limited,225.2,82.0,54.3,124.7,Inline-4,nan,CVT,,FWD,0.309,24.6,10.9,
16.9,8,491.9,342.0,5771,17.7,2001,1,Chrysler Wagon Sport,230.0,82.0,,124.9,V8,MPFI,DCT,6.0,RWD,,24.8,9.1,187.0
36.5,6,235.6,77.0,3086,22.4,1985,2,Acura Sedan GT,219.7,82.0,68.9,124.9,V6,Direct Injection,Automatic,10.0,FWD,0.418,30.9,11.9,124.0
38.2,4,144.6,99.0,3017,18.8,1995,2,Jeep Sedan EX,230.0,82.0,74.9,128.9,,MPFI,Manual,5.0,FWD,0.434,36.1,10.9,
29.9,8,320.9,265.0,5045,17.0,2006,1,Honda Truck Sport,230.0,82.0,53.9,128.2,V8,TBI,Automatic,7.0,4WD,0.429,25.2,11.9,164.0
43.0,5,181.7,137.0,2871,18.3,2020,3,Hyundai Truck Sport,230.0,82.0,56.6,123.1,V12,nan,Automatic,4.0,FWD,0.396,25.8,,125.0
38.2,8,295.5,130.0,3692,18.9,2022,1,BMW SUV Premium,230.0,82.0,55.1,125.1,V8,GDI,Automatic,10.0,RWD,,24.7,12.5,146.0
33.7,6,208.5,178.0,3297,16.6,1970,1,Honda Compact GT,230.0,,71.1,122.6,V6,Carburetor,CVT,,RWD,0.5,35.1,11.3,175.0
38.3,6,246.8,108.0,2650,19.6,2010,1,Mercedes Van GT,230.0,82.0,57.6,125.2,V6,Direct Injection,DCT,6.0,FWD,0.409,27.4,12.9,116.0
19.1,12,512.1,188.0,6500,20.9,2006,1,Toyota Wagon Limited,230.0,82.0,58.2,126.2,V12,MPFI,Manual,5.0,FWD,,28.8,,145.0
44.9,4,94.5,50.0,1800,20.8,1995,1,Nissan Sport Base,216.0,82.0,59.7,117.2,Inline-4,Carburetor,Automatic,5.0,AWD,0.407,30.2,11.3,118.0
38.9,6,263.2,215.0,3209,14.3,1986,3,Volvo Hybrid ,230.0,82.0,68.8,122.8,,Carburetor,Automatic,5.0,FWD,0.469,32.6,11.3,172.0
43.1,4,117.9,50.0,2106,20.0,2002,1,Volvo Sport Premium,230.0,82.0,65.1,128.1,Inline-4,Carburetor,Manual,5.0,AWD,0.388,31.4,10.1,98.0
51.4,4,95.7,93.0,1800,17.0,2024,2,Acura Sport Base,210.2,82.0,56.7,117.8,Flat-4,TBI,CVT,,RWD,0.308,27.1,13.3,132.0
50.4,3,62.2,50.0,1800,20.7,2001,1,Acura Crossover LX,221.5,82.0,52.5,123.6,,GDI,Automatic,9.0,nan,0.425,25.3,,
43.0,4,112.7,94.0,1800,15.7,2010,1,Acura Convertible LX,230.0,82.0,53.5,126.1,Inline-4,MPFI,CVT,,4WD,0.337,,10.3,142.0
38.6,6,197.8,163.0,2898,16.6,2017,2,Tesla Coupe LX,230.0,82.0,58.1,122.4,Inline-6,Direct Injection,Manual,5.0,RWD,0.372,28.5,12.5,110.0
42.1,6,257.4,235.0,3320,14.8,2003,2,Mercedes SUV Limited,230.0,82.0,54.2,125.7,V6,Carburetor,Manual,5.0,FWD,0.414,25.4,10.0,172.0
40.8,6,212.2,130.0,2775,17.3,2025,1,Honda Sport LX,230.0,82.0,73.5,129.5,V6,MPFI,Automatic,8.0,AWD,0.306,36.9,,134.0
45.8,4,162.4,141.0,2355,16.4,2024,3,Mazda Coupe LX,230.0,82.0,,127.6,Inline-4,MPFI,Automatic,10.0,FWD,,33.4,10.6,142.0
44.3,4,105.6,84.0,1988,18.9,1997,2,Honda Van EX,221.1,82.0,67.4,124.4,Inline-4,MPFI,Automatic,5.0,FWD,0.433,34.2,,
28.5,8,388.4,174.0,4661,19.1,2009,1,Mercedes Truck LX,230.0,82.0,76.6,128.9,,nan,Automatic,6.0,RWD,,35.7,11.9,141.0
41.1,4,151.9,79.0,2471,19.8,2000,3,Kia SUV DX,230.0,82.0,53.1,126.2,Inline-4,TBI,DCT,7.0,FWD,0.41,,8.7,147.0
37.1,6,245.2,191.0,3114,15.5,1999,1,Hyundai Luxury ,230.0,82.0,57.1,127.1,Inline-6,nan,CVT,,AWD,0.372,27.8,10.6,160.0
31.3,6,240.1,127.0,2973,17.7,1975,1,Subaru Hybrid Sport,,82.0,57.4,126.0,,Carburetor,Manual,5.0,RWD,0.443,27.7,9.1,
35.4,6,272.5,199.0,3786,17.5,2013,2,Chrysler Sedan GT,230.0,82.0,65.5,129.2,Inline-6,GDI,Automatic,4.0,AWD,0.414,32.8,9.0,120.0
37.4,5,153.7,50.0,2625,21.3,2010,3,Mercedes Convertible GT,230.0,82.0,55.0,125.4,V12,TBI,Automatic,6.0,RWD,0.403,25.3,10.1,119.0
23.9,8,388.6,223.0,4522,16.8,1977,1,Acura Hatchback LX,230.0,82.0,55.3,120.5,,MPFI,Manual,5.0,RWD,0.5,27.0,,137.0
43.8,4,169.6,61.0,1926,20.7,1999,3,Nissan Sport LX,213.9,82.0,53.0,116.8,Inline-4,Carburetor,Automatic,5.0,FWD,0.413,,9.4,117.0
37.7,8,297.1,143.0,4506,20.0,2023,2,Tesla Hatchback EX,230.0,82.0,67.1,126.1,V8,Carburetor,Manual,6.0,FWD,0.301,32.8,12.3,135.0
49.0,4,95.0,65.0,1800,19.6,1996,3,Kia Compact Premium,221.2,82.0,53.4,126.8,Inline-4,Direct Injection,Automatic,7.0,FWD,0.409,25.2,11.9,122.0
42.9,4,111.0,91.0,1800,15.7,1990,3,Nissan Luxury Base,220.8,82.0,77.0,129.7,Inline-4,GDI,DCT,6.0,RWD,,35.8,12.5,92.0
47.7,4,147.0,70.0,1900,18.9,2009,3,Dodge Coupe ,230.0,82.0,,126.6,Inline-4,MPFI,Automatic,4.0,FWD,0.428,36.3,,119.0
38.4,6,206.0,150.0,3244,19.7,2025,1,Hyundai Sedan EX,230.0,82.0,55.1,131.6,V6,MPFI,Manual,5.0,FWD,0.296,26.5,11.6,116.0
42.3,4,107.1,84.0,2300,17.8,1996,2,Mazda Sport DX,230.0,82.0,69.1,122.0,Inline-4,MPFI,Automatic,8.0,RWD,0.47,33.1,10.5,114.0
